name;description;isPartOfCourseraPlus;subtitleLanguages;productDifficultyLevels;audiences;enrollments;partners;languages;numProductRatings;allLanguageCodes;avgProductRatings;skills
Statistics for Data Science with Python;This Statistics for Data Science course is designed to introduce you to the basic principles of statistical methods and procedures used for data analysis. After completing this course you will have practical knowledge of crucial topics in statistics including  - data gathering, summarizing data using descriptive statistics, displaying and visualizing data, examining relationships between variables, probability distributions, expected values, hypothesis testing, introduction to ANOVA (analysis of variance), regression and correlation analysis. You will take a hands-on approach to statistical analysis using Python and Jupyter Notebooks – the tools of choice for Data Scientists and Data Analysts. ;False;[];Mixed;;9334;['IBM'];English;150;['en'];4.566666666666666;['Hypothesis', 'Hypothesis Testing', 'Data Visualization', 'General Statistics', 'Data Analysis', 'Basic Descriptive Statistics', 'Probability & Statistics', 'Statistical Hypothesis Testing']
Building Modern Python Applications on AWS;In modern cloud native application development, it’s oftentimes the goal to build out serverless architectures that are scalable, are highly available, and are fully managed. This means less operational overhead for you and your business, and more focusing on the applications and business specific projects that differentiate you in your marketplace. In this course, we will be covering how to build a modern, greenfield serverless backend on AWS. ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Intermediate;;70022;['Amazon Web Services'];English;596;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.52013422818792;['Web Service', 'Application Programming Interfaces', 'Cloud Computing', 'Amazon Web Services', 'Computer Programming', 'Web']
Introdução à Ciência da Computação com Python Parte 2;Bem vindo ao curso de Introdução à Ciência da Computação destinado aos alunos regulares da Universidade de São Paulo!;True;[];Beginner;;23170;['Universidade de São Paulo'];Portuguese (Brazil);1124;['pt'];4.875444839857651;['Statistical Programming', 'Theoretical Computer Science', 'Sorting Algorithm', 'Computer Programming', 'Μ-Recursive Function', 'Algorithms', 'Sorting']
Сбор и анализ данных в Python;В этом онлайн-курсе НИУ ВШЭ мы познакомимся с базовыми понятиями статистики, научимся аккуратно собирать данные, обрабатывать их и визуализировать. Также мы поговорим про базовые теоремы, которые используются в математической статистике: ЗБЧ и ЦПТ.;True;[];Intermediate;;1586;['HSE University'];Russian;15;['ru'];4.4;['Probability Distribution', 'Statistical Analysis', 'Statistical Programming', 'Data Analysis', 'Probability & Statistics', 'Business Analysis', 'Computer Programming']
Fitting Statistical Models to Data with Python;In this course, we will expand our exploration of statistical inference techniques by focusing on the science and art of fitting statistical models to data. We will build on the concepts presented in the Statistical Inference course (Course 2) to emphasize the importance of connecting research questions to our data analysis methods. We will also focus on various modeling objectives, including making inference about relationships between variables and generating predictions for future observations.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Intermediate;;24844;['University of Michigan'];English;569;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.430579964850615;['Statistical Models', 'Statistical Analysis', 'General Statistics', 'Bayesian Statistics', 'Machine Learning', 'Econometrics', 'Probability & Statistics', 'Modeling', 'Data Analysis', 'Bayesian', 'Regression', 'Multilevel Model', 'Business Analysis', 'Machine Learning Algorithms', 'Linearity', 'Computer Programming']
Applied Social Network Analysis in Python;This course will introduce the learner to network analysis through tutorials using the NetworkX library. The course begins with an understanding of what network analysis is and motivations for why we might model phenomena as networks. The second week introduces the concept of connectivity and network robustness. The third week will explore ways of measuring the importance or centrality of a node in a network. The final week will explore the evolution of networks over time and cover models of network generation and the link prediction problem. ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Intermediate;;82033;['University of Michigan'];English;2501;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.651739304278289;['Machine Learning', 'Mathematics', 'Social Network', 'Graphs', 'Graph Theory', 'Network Analysis', 'Marketing', 'Analysis', 'Communication']
Python para a Ciência de Dados e IA;Inicie seu estudo de Python para ciência de dados e de programação em geral com esta introdução ao Python feita especialmente para iniciantes. Python é uma das linguagens de programação mais populares do mundo e nunca houve tanta demanda por profissionais com a habilidade de aplicar os princípios básicos de Python para impulsionar soluções de negócios em vários setores. ;False;['Vietnamese', 'German', 'English', 'Spanish', 'Persian'];Beginner;;637;['IBM'];Portuguese (Brazil);1;['vi', 'de', 'en', 'es', 'fa', 'pt'];5;['Append', "Euler'S Totient Function", 'Statistical Programming', 'Mathematics', 'Computer Programming']
Applied Text Mining in Python;This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling). ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Intermediate;;118788;['University of Michigan'];English;3573;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.24629163168206;['Machine Learning', 'Natural Language Toolkit', 'Mathematical Theory & Analysis', 'Theoretical Computer Science', 'Data Analysis', 'Programming Principles', 'Probability & Statistics', 'Mathematics', 'Computational Logic', 'Text Mining', 'Computer Programming', 'Natural Language Processing', 'General Statistics', 'Statistical Machine Learning', 'Machine Learning Software', 'Language', 'Natural Language', 'Data Mining']
Программирование для всех (начало работы с Python);Цель этого курса — научить всех основам программирования компьютеров с помощью Python. Мы рассмотрим основы того, как можно построить программу на основе серии простых инструкций в Python.   Курс не имеет предварительных требований и не включает никакого материала по математике, кроме самого элементарного. Любой, у кого есть умеренный опыт работы с компьютером, сумеет освоить материалы этого курса. Этот курс охватывает главы 1-5 учебника «Python for Everybody».  После завершения этого курса ученики будут готовы пройти более продвинутые курсы программирования. В этом курсе рассматривается Python 3.;True;['Arabic', 'Chinese (China)', 'Korean', 'German', 'Turkish', 'English'];Mixed;;786;['University of Michigan'];Russian;1;['ar', 'zh', 'ko', 'de', 'tr', 'en', 'ru'];5;['Computer Memory', 'Iteration', 'Computer Programming', 'Source Lines Of Code', 'Software Design Pattern']
Programación para todos (Introducción a Python);Este curso se orienta a enseñar los conceptos básicos de programación informática con Python. Abarca los conceptos básicos sobre cómo diseñar un programa a partir de instrucciones simples en Python.  El curso no tiene requisitos previos e incluye solo operaciones matemáticas simples. Cualquier persona con algo de experiencia en informática podrá dominar los materiales de este curso. Este curso abarcará los capítulos de 1 a 5 del libro de texto “Python para todos”.  Una vez completado este curso, el estudiante estará listo para tomar cursos de programación más avanzados. Este curso abarca Python 3.;True;['Arabic', 'Chinese (China)', 'Korean', 'German', 'Turkish', 'English'];Mixed;;1534;['University of Michigan'];Spanish;11;['ar', 'zh', 'ko', 'de', 'tr', 'en', 'es'];5;['Software Design Pattern', 'Cmos', 'Computer Programming', 'Source Lines Of Code']
Использование языка Python для доступа к веб-данным;Этот курс покажет, как можно использовать Интернет в качестве источника данных.  Мы рассмотрим скрейпинг, парсинг и чтение веб-данных, а также получение доступа к данным с помощью web API.  Мы будем работать с форматами данных HTML, XML и JSON на Python.  Этот курс будет охватывает главы 11–13 учебника «Python для всех» (Python for Everybody). Чтобы успешно пройти этот курс, вы должны быть знакомы с материалами, изложенными в главах 1–10 учебника и первых двух курсах по данной специализации.  Эти темы включают переменные и выражения, условные операторы (циклы, ветвление и исключения: try/except), функции, структуры данных Python (строки, списки, словари и кортежи), а также манипулирование файлами.  В этом курсе рассматривается Python 3.;True;['French', 'Portuguese', 'Korean', 'English', 'Spanish'];Mixed;;142;['University of Michigan'];Russian;0;['fr', 'pt', 'ko', 'en', 'es', 'ru'];;['Mathematical Theory & Analysis', 'Theoretical Computer Science', 'Computational Logic', 'Mathematics', 'Programming Principles', 'Web', 'Parsing', 'Xml', 'Computer Programming', 'Software Architecture', 'Software Engineering', 'Computer Programming Tools']
Python: Istruzioni per l’uso;Il Corso fornisce i principi di programmazione, le tecniche e gli strumenti di Python, linguaggio interpretato orientato agli oggetti molto utilizzato in molteplici contesti scientifici ed aziendali.;True;[];Beginner;;577;['Università di Napoli Federico II'];Italian;12;['it'];4.083333333333333;['Statistical Programming', 'Software Engineering', 'Scrum (Software Development)', 'Agile Software Development', 'Computer Programming']
Python and Machine-Learning for Asset Management with Alternative Data Sets;Over-utilization of market and accounting data over the last few decades has led to portfolio crowding, mediocre performance and systemic risks, incentivizing financial institutions which are looking for an edge to quickly adopt alternative data as a substitute to traditional data. This course introduces the core concepts around alternative data, the most recent research in this area, as well as practical portfolio examples and actual applications. The approach of this course is somewhat unique because while the theory covered is still a main component, practical lab sessions and examples of working with alternative datasets are also key. This course is fo you if you are aiming at carreers prospects as a data scientist in financial markets, are looking to enhance your analytics skillsets to the financial markets, or if you are interested in cutting-edge technology and research as  they apply to big data. The required background is: Python programming, Investment theory , and Statistics. This course will enable you to learn new data and research techniques applied to the financial markets while strengthening data science and python skills.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Intermediate;;10291;['EDHEC Business School'];English;200;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.415;['Probability & Statistics', 'Machine Learning', 'Data Analysis', 'Natural Language Processing', 'Sentiment Analysis', 'Tf Idf', 'Data Mining']
DevOps and Build Automation with Python;This course is the final course in a series that aims to prepare you for a role working as a programmer. In this course we will look at several automation concepts in DevOps with Python.  Labs will allow the students to apply the material in the lectures in simple computer programs designed to re-enforce the material in the lesson.;True;[];Beginner;;865;['LearnQuest'];English;20;['en'];4.15;['Software Testing', 'Unit Testing', 'Web Development', 'Software Engineering', 'Javascript', 'Integration Testing', 'Manual Testing', 'Computer Programming', 'Web Browsers']
Introduction to Python for Cybersecurity;This course it the first part of the Python for Cybersecurity Specialization. Learners will get an introduction and overview of the course format and learning objectives.;True;[];Intermediate;;3823;['Infosec'];English;66;['en'];4.424242424242424;['Statistical Programming', 'Theoretical Computer Science', 'SQL', 'Security Engineering', 'Computer Programming', 'Cyberattacks', 'Data Management', 'Cryptography', 'Databases']
Machine Learning for Accounting with Python;This course, Machine Learning for Accounting with Python, introduces machine learning algorithms (models) and their applications in accounting problems. It covers classification, regression, clustering, text analysis, time series analysis. It also discusses model evaluation and model optimization. This course provides an entry point for students to be able to apply proper machine learning models on business related datasets with Python to solve various problems.;True;['French', 'Portuguese (Portugal)', 'Russian', 'Spanish'];Intermediate;;6265;['University of Illinois at Urbana-Champaign'];English;26;['fr', 'pt', 'ru', 'es', 'en'];4.576923076923077;['N-Gram', 'Document Classification', 'Forecasting', 'Machine Learning', 'Probability & Statistics', 'General Statistics']
Análise de dados com Python;Saiba como analisar dados usando Python. Este curso abrange desde o básico do Python até a exploração de diferentes tipos de dados. Você aprenderá como preparar dados para análise, executar análises estatísticas simples, criar visualizações de dados significativas, prever tendências futuras a partir de dados, e muito mais!;False;['Arabic', 'Vietnamese', 'Korean', 'Turkish', 'English', 'Persian'];Beginner;;1273;['IBM'];Portuguese (Brazil);4;['ar', 'vi', 'ko', 'tr', 'en', 'fa', 'pt'];5;['2.5d', 'Statistical Programming', 'Modeling', 'Evaluation', 'Computer Programming']
Practical Python for AI Coding 1;Introduction video:  https://youtu.be/TRhwIHvehR0;True;[];Beginner;;823;['Korea Advanced Institute of Science and Technology(KAIST)'];English;6;['en'];4.666666666666667;['Tensorflow', 'Principle', 'Statistical Programming', 'Cloud Computing', 'Programming Principles', 'Computer Programming', 'Other Programming Languages', 'Superdense Coding', 'Machine Learning', 'Unary Coding', 'Theoretical Computer Science', 'Applied Machine Learning']
Aprendizado de máquina com Python;Este curso mergulha nos fundamentos básicos de aprendizado de máquina usando uma linguagem de programação acessível e bem conhecida, Python. ;False;['Vietnamese', 'English'];Intermediate;;340;['IBM'];Portuguese (Brazil);0;['vi', 'en', 'pt'];;['Leadership Development', 'Data Clustering Algorithms', 'Theoretical Computer Science', 'Strategy and Operations', 'Ordered Pair', 'Change Management', 'Computational Logic', 'Data Structures', 'Probability & Statistics', 'K-Means Clustering', 'Project Management', 'Data Management']
Python Data Visualization;This if the final course in the specialization which builds upon the knowledge learned in Python Programming Essentials, Python Data Representations, and Python Data Analysis.  We will learn how to install external packages for use within Python, acquire data from sources on the Web, and then we will clean, process, analyze, and visualize that data. This course will combine the skills learned throughout the specialization to enable you to write interesting, practical, and useful programs.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;32407;['Rice University'];English;506;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.650197628458498;['Statistical Programming', 'Computer Programming']
Python for Command-and-control, Exfiltration and Impact;This course covers python for Command-and-control, Exfiltration and Impact.;True;[];Intermediate;;554;['Infosec'];English;6;['en'];5;['Information Security', 'Software Security', 'System Security', 'Operating Systems', 'Security Engineering']
Python for Active Defense;This course covers Python for active defense.;True;[];Intermediate;;545;['Infosec'];English;6;['en'];4.833333333333333;['Computer Networking', 'Security Engineering', 'Network Security', 'Computer Programming', 'Defense']
Visualización de Datos con Python;"Una imagen vale mas que mil palabras". Todos estamos familiarizados con esta expresión. Se aplica especialmente cuando se trata de explicar la información obtenida del análisis de conjuntos de datos cada vez más grandes. La visualización de datos juega un papel esencial en la representación de datos tanto a pequeña como a gran escala.;False;['Vietnamese', 'English', 'Persian'];Intermediate;;390;['IBM'];Spanish;12;['vi', 'en', 'fa', 'es'];4.75;['Visualization Library', 'Scatter Plot']
Aprendizaje Automático con Python;Este curso se sumerge en los conceptos básicos del aprendizaje automático mediante un lenguaje de programación accesible y conocido, Python.;False;['Vietnamese', 'English'];Intermediate;;1089;['IBM'];Spanish;5;['vi', 'en', 'es'];5;['Probability & Statistics', 'Support Vector Machine', 'Theoretical Computer Science', 'Recommender Systems', 'Estimation']
Uso de bases de datos con Python;Este curso presentará a los estudiantes los conceptos básicos del lenguaje de consulta estructurado (Structured Query Language, SQL), así como el diseño básico de bases de datos para almacenar datos como parte de una iniciativa de varios pasos para recopilar, analizar y procesar datos.  El curso utilizará SQLite3 como base de datos.  También crearemos rastreadores web y procesos de visualización y recopilación de datos de varios pasos.  Utilizaremos la biblioteca D3.js para realizar la visualización básica de datos.  Este curso abarcará los capítulos de 14 y 15 del libro “Python para todos”. Para que le vaya bien en este curso, debe estar familiarizado con el material cubierto en los capítulos 1 a 13 del libro de texto y los primeros tres cursos de esta especialización. Este curso abarca Python 3.;True;['French', 'Portuguese', 'Korean', 'Russian', 'English'];Mixed;;754;['University of Michigan'];Spanish;1;['fr', 'pt', 'ko', 'ru', 'en', 'es'];3;['Recursively Enumerable Set', 'Rowing', 'Advertising', 'Databases', 'Database Connection']
Estadísticas para la Ciencia de Datos con Python;Este curso de Estadística para la Ciencia de Datos está diseñado para presentarle los principios básicos de los métodos y procedimientos estadísticos utilizados para el análisis de datos. Después de completar este curso, tendrá conocimientos prácticos de temas cruciales en estadística que incluyen: recopilación de datos, resumen de datos utilizando estadísticas descriptivas, visualización de datos, examen de relaciones entre variables, distribuciones de probabilidad, valores esperados, pruebas de hipótesis, introducción a ANOVA (análisis de la varianza), análisis de regresión y correlación. Adoptará un enfoque práctico para el análisis estadístico utilizando Python y los Notebooks Jupyter, las herramientas elegidas por los científicos y analistas de datos.;False;['English'];Mixed;;494;['IBM'];Spanish;1;['en', 'es'];5;['Experiment', 'Central Tendency', 'Regression Analysis', 'Data Analysis', 'General Statistics', 'Basic Descriptive Statistics', 'Standard Deviation', 'Probability & Statistics']
Visualizing & Communicating Results in Python with Jupyter;Code and run your first Python program in minutes without installing anything!;True;[];Beginner;;212;['Codio'];English;0;['en'];;['Probability & Statistics', 'Statistical Visualization', 'Plot (Graphics)', 'General Statistics', 'Data Visualization', 'Mathematics', 'Basic Descriptive Statistics', 'Area Chart', 'Communication', 'Mosaic Plot', 'Algebra']
Programmation pour tous (mise en route de Python);Ce cours vise à enseigner à tous les bases de la programmation informatique en Python. Nous couvrons les bases pour construire un programme à partir d’une série d’instructions simples en Python.  Le cours ne suppose aucune condition préalable et repose sur le b.a.-ba des mathématiques. Toute personne avec une expérience informatique modérée devrait être capable de maîtriser le contenu de ce cours. Ce cours couvrira les chapitres 1 à 5 du manuel « Python pour tous ».  Lorsqu’un étudiant aura terminé ce cours, il sera en mesure de suivre des cours de programmation plus avancés. Ce cours couvre le Python 3.;True;['Arabic', 'Chinese (China)', 'Korean', 'German', 'Turkish', 'English'];Mixed;;383;['University of Michigan'];French;3;['ar', 'zh', 'ko', 'de', 'tr', 'en', 'fr'];4.666666666666667;['Sink', 'Software Design Pattern', 'Computer Memory', 'Source Lines Of Code', 'Computer Programming']
Programação para todos (Conceitos básicos de Python);Este curso tem como objetivo ensinar a todos os conceitos básicos de programação de computadores usando Python. Abordamos o básico de como criar um programa a partir de uma série de instruções simples em Python.  O curso não tem pré-requisitos e evita tudo, exceto a matemática mais simples. Qualquer pessoa com experiência moderada em computadores deve ser capaz de dominar os materiais deste curso. Este curso abordará os capítulos 1 ao 5 do livro “Python para Todos”.  Assim que o aluno concluir este curso, estará preparado para fazer cursos de programação mais avançados. Este curso aborda o Python 3.;True;['Arabic', 'Chinese (China)', 'Korean', 'German', 'Turkish', 'English'];Mixed;;646;['University of Michigan'];Portuguese (Brazil);5;['ar', 'zh', 'ko', 'de', 'tr', 'en', 'pt'];5;['Source Lines Of Code', 'Software Design Pattern', 'Computer Programming', 'Unos (Operating System)']
Advanced Python - Reconnaissance;Welcome to advanced Python for Cybersecurity. The Reconnaissance course demonstrates the use of Python to automate the process of performing reconnaissance on target environments. We will also demonstrate how Python can be used to automate a password guessing attach to gain initial access to a target environment.;True;[];Mixed;;42;['Infosec'];English;0;['en'];;['Operating Systems', 'Combinatorics', 'Software Security', 'Combination', 'Systems Design', 'Web Development', 'Mathematics', 'Programming Principles', 'Path (Variable)', 'System Security', 'Porting', 'Back-End Web Development', 'Information Security', 'Extract', 'Computer Programming', 'Security Engineering', 'Theoretical Computer Science']
Uso de bancos de dados com Python;Este curso apresentará aos alunos os conceitos básicos da Linguagem de Consulta Estruturada (SQL), bem como o design básico do banco de dados para armazenar dados como parte de um esforço de coleta, análise e processamento de dados em várias etapas.  O curso usará o SQLite3 como banco de dados.  Também criaremos rastreadores da Web e processos de coleta e visualização de dados em várias etapas.  Usaremos a biblioteca D3.js para fazer a visualização básica de dados.  Este curso abordará os capítulos 14 e 15 do livro “Python para Todos”. Para ter êxito neste curso, você deve estar familiarizado com o material abordado nos capítulos 1 a 13 do livro e os três primeiros cursos desta especialização. Este curso aborda o Python 3.;True;['French', 'Portuguese', 'Korean', 'Russian', 'English', 'Spanish'];Mixed;;330;['University of Michigan'];Portuguese (Brazil);0;['fr', 'pt', 'ko', 'ru', 'en', 'es'];;['Writing', 'Com File', 'Advertising', 'Computational Thinking', 'Database Connection']
Estructuras de datos de Python;Este curso presentará las estructuras de datos básicas del lenguaje de programación Python. Veremos los conceptos básicos de la programación de procedimientos y exploraremos cómo podemos usar las estructuras de datos integrados de Python, como listas, diccionarios y tuplas, para realizar análisis de datos cada vez más complejos. Este curso abarcará los capítulos 6 a 10 del libro de texto “Python para todos”.  Este curso cubre Python 3.;True;['Arabic', 'French', 'Chinese (China)', 'Korean', 'Russian', 'English'];Mixed;;260;['University of Michigan'];Spanish;4;['ar', 'fr', 'zh', 'ko', 'ru', 'en', 'es'];5;['Yottabyte', 'Spreadsheet Software', 'Operating Systems', 'Statistical Programming', 'Theoretical Computer Science', 'Calculus', 'Algebra', 'In-Memory Database', 'Business Analysis', 'Data Structures', 'Communication']
Uso de Python para Acceder a Datos Web;En este curso, aprenderás cómo la Internet se puede convertir en una fuente de datos.  Para esto, rasparemos, analizaremos y leeremos los datos web y también accederemos datos mediante APIs web.  Trabajaremos con formatos de datos HTML, XML y JSON en Python. Este curso abarcará los capítulos 11-13 del libro de texto "Python for Everybody". Para tener éxito en este curso, debes estar familiarizado con el material que se incluye en los capítulos 1-10 del libro de texto y los dos primeros cursos de esta especialización.  Estos temas incluyen variables y expresiones, ejecución condicional (bucles, ramificación y try/except), funciones, estructuras de datos de Python (cadenas, listas, diccionarios y tuplas) y manipulación de archivos. Este curso abarca Python 3.;True;['French', 'Portuguese', 'Korean', 'Russian', 'English'];Mixed;;688;['University of Michigan'];Spanish;3;['fr', 'pt', 'ko', 'ru', 'en', 'es'];4.666666666666667;['Web', 'Xml', 'Regular Expression', 'Parsing', 'Computer Programming']
Estruturas de dados Python;Este curso apresentará as estruturas de dados centrais da linguagem de programação Python. Vamos superar os fundamentos da programação de procedimentos e explorar como podemos usar as estruturas de dados integradas do Python, como listas, dicionários e tuplas, para realizar análises de dados cada vez mais complexas. Este curso cobrirá os capítulos 6 a 10 do livro “Python para Todos”.  Este curso aborda o Python 3.;True;['Arabic', 'French', 'Chinese (China)', 'Korean', 'Russian', 'English', 'Spanish'];Mixed;;191;['University of Michigan'];Portuguese (Brazil);1;['ar', 'fr', 'zh', 'ko', 'ru', 'en', 'es', 'pt'];5;['Statistical Programming', 'Com File', 'Systems Design', 'Data Management', 'Theoretical Computer Science', 'Numbers (Spreadsheet)', 'Computer Programming', 'Operating Systems']
Python per la Data Science;Python per la Data Science è un corso cruciale per qualsiasi professionista che voglia analizzare grandi quantità di dati attraverso le più recenti tecniche di machine Learning e Deep learning. ;True;[];Intermediate;;209;['Università di Napoli Federico II'];Italian;2;['it'];5;['Statistical Programming', 'Data Science']
Python استخدام قواعد البيانات مع;سيتعرف الطلاب خلال هذه الدورة على أساسيات لغة الاستعلام البنوية (SQL) وتصميم قاعدة البيانات الأساسية لتخزين البيانات كجزءٍ من جمع البيانات متعددة الخطوات وتحليلها ومعالجتها. تستخدم الدورة التدريبية SQLite3 قاعدة بيانات لها. نعمل أيضًا على إنشاء متتبعات الويب وعمليات جمع البيانات متعددة الخطوات وتصورها. نستخدم مكتبة D3.js لإجراء تصور البيانات الأساسية. تتناول هذه الدورة الفصلين 14 و15 من كتاب "Python for Everybody". كي تجتاز هذه الدورة، ينبغي أن تكون على دراية بالمواد المذكورة في الفصل الأول إلى الفصل 13 من الكتاب الدراسي والدورات الثلاث الأولى في هذا التخصص. تتناول هذه الدورة Python 3.;True;['French', 'Portuguese', 'Korean', 'Russian', 'English', 'Spanish'];Mixed;;148;['University of Michigan'];Arabic;0;['fr', 'pt', 'ko', 'ru', 'en', 'es', 'ar'];;['Recursively Enumerable Set', 'Writing', 'Rowing', 'Lecture', 'Computational Thinking', 'Mathematics', 'Theoretical Computer Science', 'Computer Programming', 'Advertising', 'Data Management', 'Database Connection', 'Databases', 'Database Theory', 'Communication', 'Database Application']
Neural Networks and Deep Learning;In the first course of the Deep Learning Specialization, you will study the foundational concept of neural networks and deep learning. ;False;['Chinese (Traditional)', 'Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Portuguese (Brazil)', 'Vietnamese', 'Korean', 'German', 'Russian', 'Turkish', 'Spanish', 'Japanese'];Intermediate;;1014093;['DeepLearning.AI'];English;110148;['zh', 'ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'tr', 'es', 'ja', 'en'];4.882249337255329;['Bayesian Statistics', 'Machine Learning', 'Linear Algebra', 'Artificial Neural Networks', 'General Statistics', 'Deep Learning', 'Algorithms', 'Python Programming', 'Machine Learning Algorithms', 'Regression', 'Backpropagation', 'Probability & Statistics', 'Computer Programming']
Biology Meets Programming: Bioinformatics for Beginners;Are you interested in learning how to program (in Python) within a scientific setting?;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Portuguese (Brazil)', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;125870;['University of California San Diego'];English;1250;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.2568;['Bioinformatics Algorithms', 'Biostatistics', 'Machine Learning', 'Statistical Programming', 'Probability & Statistics', 'Algorithms', 'Bioinformatics', 'Python Programming', 'Computer Programming', 'Theoretical Computer Science']
Exploratory Data Analysis for Machine Learning;This first course in the IBM Machine Learning Professional Certificate introduces you to Machine Learning and the content of the professional certificate. In this course you will realize the importance of good, quality data. You will learn common techniques to retrieve your data, clean it, apply feature engineering, and have it ready for preliminary analysis and hypothesis testing.;False;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Intermediate;;22556;['IBM'];English;498;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.570281124497992;['Probability & Statistics', 'Hypothesis', 'Experiment', 'Data Visualization', 'Statistical Programming', 'Data Analysis', 'General Statistics', 'Deep Learning', 'Statistical Hypothesis Testing', 'Hypothesis Testing', 'Machine Learning', 'Exploratory Data Analysis', 'Computer Programming', 'Feature Engineering', 'Python Programming', 'Analysis']
Penetration Testing, Incident Response and Forensics;This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program. ;False;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;24508;['IBM'];English;961;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.604578563995838;['Statistical Programming', 'Network Security', 'Cyberattacks', 'Software Engineering', 'Language', 'Software Testing', 'Computer Security Incident Management', 'Security Engineering', 'Forensics', 'Scripting Language', 'Penetration Test', 'Incident Management', 'Computer Networking', 'Python Programming', 'Computer Programming']
Algorithms for Searching, Sorting, and Indexing;This course covers basics of algorithm design and analysis, as well as algorithms for sorting arrays, data structures such as priority queues, hash functions, and applications such as Bloom filters.;True;[];Intermediate;;6778;['University of Colorado Boulder'];English;50;['en'];4.74;['Statistical Programming', 'Theoretical Computer Science', 'Computational Thinking', 'Algorithms', 'Data Management', 'Python Programming', 'Data Structures', 'Computer Programming']
State Estimation and Localization for Self-Driving Cars;Welcome to State Estimation and Localization for Self-Driving Cars, the second course in University of Toronto’s Self-Driving Cars Specialization. We recommend you take the first course in the Specialization prior to taking this course. ;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Advanced;;35592;['University of Toronto'];English;705;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.695035460992908;['Python Programming', 'Probability Distribution', 'Statistical Programming', 'Linear Algebra', 'Probability & Statistics', 'Kalman Filter', 'Mathematics', 'Estimation', 'Machine Learning', 'Computer Programming', 'General Statistics']
Machine Learning Foundations: A Case Study Approach;Do you have data and wonder what it can tell you?  Do you need a deeper understanding of the core ways in which machine learning can improve your business?  Do you want to be able to converse with specialists about anything from regression and classification to deep learning and recommender systems?;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Mixed;;347681;['University of Washington'];English;12709;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.621842788575026;['Theoretical Computer Science', 'Statistical Programming', 'Data Analysis', 'Probability & Statistics', 'Algorithms', 'Deep Learning', 'Graphlab', 'Machine Learning Algorithms', 'Regression', 'Computer Programming', 'Python Programming', 'General Statistics', 'Machine Learning', 'Applied Machine Learning', 'Natural Language Processing']
